scenario,year,variable,commodity,sector,subsector,value
BAU,2017,capital demand,,WhRetTr,,774.0
BAU,2017,labor demand,,WhRetTr,,324.0
BAU,2017,CO2,,WhRetTr,,5573.8076
BAU,2017,energy demand,Coal,WhRetTr,,966.0
BAU,2017,energy demand,RefPet,WhRetTr,,987.0
BAU,2017,energy demand,ElecDist,WhRetTr,,477.0
BAU,2017,energy demand,GasDist,WhRetTr,,994.0
BAU,2017,domestic demand,,WhRetTr,,24796.0
BAU,2017,commodity price,,WhRetTr,,1.0
BAU,2017,investment,,WhRetTr,,563.0
BAU,2017,government consumption,WhRetTr,,,7.0
BAU,2017,household consumption,WhRetTr,RuralHH,,1176.0
BAU,2017,household consumption,WhRetTr,UrbanHH,,2000.0
BAU,2017,output,,TranspSrv,,21754.0
BAU,2017,production cost,,TranspSrv,,1.0
BAU,2017,capital demand,,TranspSrv,,395.0
BAU,2017,labor demand,,TranspSrv,,718.0
BAU,2017,CO2,,TranspSrv,,622.9324
BAU,2017,energy demand,Coal,TranspSrv,,941.0
BAU,2017,energy demand,RefPet,TranspSrv,,678.0
BAU,2017,energy demand,ElecDist,TranspSrv,,894.0
BAU,2017,energy demand,GasDist,TranspSrv,,464.0
BAU,2017,domestic demand,,TranspSrv,,21754.0
BAU,2017,commodity price,,TranspSrv,,1.0
BAU,2017,investment,,TranspSrv,,10.0
BAU,2017,government consumption,TranspSrv,,,6.0
BAU,2017,household consumption,TranspSrv,RuralHH,,100.0
BAU,2017,household consumption,TranspSrv,UrbanHH,,163.0
BAU,2017,output,,HotRest,,25200.0
BAU,2017,production cost,,HotRest,,1.0
BAU,2017,capital demand,,HotRest,,1231.0
BAU,2017,labor demand,,HotRest,,2967.0
BAU,2017,CO2,,HotRest,,1657.5532
BAU,2017,energy demand,Coal,HotRest,,283.0
BAU,2017,energy demand,RefPet,HotRest,,95.0
BAU,2017,energy demand,ElecDist,HotRest,,550.0
BAU,2017,energy demand,GasDist,HotRest,,940.0
BAU,2017,domestic demand,,HotRest,,25184.0
BAU,2017,commodity price,,HotRest,,1.0
BAU,2017,investment,,HotRest,,922.0
BAU,2017,government consumption,HotRest,,,142.0
BAU,2017,household consumption,HotRest,RuralHH,,1089.0
BAU,2017,household consumption,HotRest,UrbanHH,,33.0
BAU,2017,output,,ICTServ,,24626.0
BAU,2017,production cost,,ICTServ,,1.0
BAU,2017,capital demand,,ICTServ,,38.0
BAU,2017,labor demand,,ICTServ,,2318.0
BAU,2017,CO2,,ICTServ,,221.56071
BAU,2017,energy demand,Coal,ICTServ,,712.0
BAU,2017,energy demand,RefPet,ICTServ,,629.0
BAU,2017,energy demand,ElecDist,ICTServ,,364.0
BAU,2017,energy demand,GasDist,ICTServ,,915.0
BAU,2017,domestic demand,,ICTServ,,24600.0
BAU,2017,commodity price,,ICTServ,,1.0
BAU,2017,investment,,ICTServ,,15.0
BAU,2017,government consumption,ICTServ,,,285.0
BAU,2017,household consumption,ICTServ,RuralHH,,78.0
BAU,2017,household consumption,ICTServ,UrbanHH,,4760.0
BAU,2017,output,,Finance,,26255.0
BAU,2017,production cost,,Finance,,1.0
BAU,2017,capital demand,,Finance,,1807.0
BAU,2017,labor demand,,Finance,,886.0
BAU,2017,CO2,,Finance,,163.41864
BAU,2017,energy demand,Coal,Finance,,467.0
BAU,2017,energy demand,RefPet,Finance,,942.0
BAU,2017,energy demand,ElecDist,Finance,,858.0
BAU,2017,energy demand,GasDist,Finance,,684.0
BAU,2017,domestic demand,,Finance,,26232.0
BAU,2017,commodity price,,Finance,,1.0
BAU,2017,investment,,Finance,,664.0
BAU,2017,government consumption,Finance,,,18.0
BAU,2017,household consumption,Finance,RuralHH,,778.0
BAU,2017,household consumption,Finance,UrbanHH,,1426.0
BAU,2017,output,,RealEst,,25916.0
BAU,2017,production cost,,RealEst,,1.0
BAU,2017,capital demand,,RealEst,,865.0
BAU,2017,labor demand,,RealEst,,1910.0
BAU,2017,CO2,,RealEst,,123.14408
BAU,2017,energy demand,Coal,RealEst,,354.0
BAU,2017,energy demand,RefPet,RealEst,,291.0
BAU,2017,energy demand,ElecDist,RealEst,,212.0
BAU,2017,energy demand,GasDist,RealEst,,981.0
