Scenario,rate,delta,variable,sector,subsector,labor,qualifier,value,solvestat
"P_ECF_coal",742.080000000,0.050000000,"MJ","Agri","","LabSk","MJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Agri","","LabSk","IDJ",1.932690169,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Agri","","LabUn","TJ",34.157176196,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Agri","","LabUn","CIMJ",47.898187548,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Agri","","LabUn","MJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Agri","","LabUn","IDJ",-13.741011351,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Mine","","LabSk","TJ",-0.131320738,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Mine","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Mine","","LabSk","MJ",0.000852152,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Mine","","LabSk","IDJ",-0.132172890,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","Mine","","LabUn","TJ",-1.856413641,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","Mine","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","Mine","","LabUn","MJ",0.007764559,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","Mine","","LabUn","IDJ",-1.864178200,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","PapMfg","","LabSk","TJ",0.114021145,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","PapMfg","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","PapMfg","","LabSk","MJ",0.002030681,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","PapMfg","","LabSk","IDJ",0.111990464,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","PapMfg","","LabUn","TJ",0.460157570,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","PapMfg","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","PapMfg","","LabUn","MJ",0.019309496,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","PapMfg","","LabUn","IDJ",0.440848075,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","CheMfg","","LabSk","TJ",0.257337537,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","CheMfg","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","CheMfg","","LabSk","MJ",0.001365702,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","CheMfg","","LabSk","IDJ",0.255971835,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","CheMfg","","LabUn","TJ",0.501439275,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","CheMfg","","LabUn","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","CheMfg","","LabUn","MJ",0.004902493,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","CheMfg","","LabUn","IDJ",0.496536782,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"TJ","CMMfg","","LabSk","TJ",0.667940986,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"CIMJ","CMMfg","","LabSk","CIMJ",0.000000000,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"MJ","CMMfg","","LabSk","MJ",0.000694114,1.000000000
"P_ECF_coal",742.080000000,0.050000000,"IDJ","CMMfg","","LabSk","IDJ",0.667246872,1.000000000
